    cli,Bubble,Shell,Insertion,Selection,Quick
jv,85,3,24,33,2
jv,64,3,23,32,2
jv,64,3,20,32,2
jv,71,3,24,37,2
jv,70,3,28,36,2
jv,96,4,30,40,2
jv,67,3,22,35,2
jv,67,3,21,34,2
jv,77,3,26,38,2
jv,81,3,22,35,2
jv,65,3,20,33,2
jv,62,3,23,34,2
jv,70,3,22,34,2
jv,76,3,35,33,2
jv,78,3,21,35,2
jv,71,3,21,33,2
jv,78,3,21,34,2
jv,73,3,20,33,2
jv,70,3,21,34,2
jv,64,3,33,33,2
jv,65,3,21,33,2
jv,66,3,21,34,2
jv,69,3,22,34,2
jv,70,3,21,33,2
jv,76,3,23,35,2
jv,71,3,21,34,2
jv,68,3,23,36,2
jv,89,3,22,34,2
jv,64,3,29,38,2
jv,73,3,21,35,2
jv,72,3,22,34,2
jv,81,3,21,34,2
jv,71,3,21,34,2
jv,70,3,21,34,2
jv,76,3,27,39,2
jv,69,3,23,35,2
jv,69,3,23,35,2
jv,84,3,22,35,2
jv,73,3,22,36,2
jv,82,3,22,35,2
jv,75,3,26,41,3
jv,74,3,21,35,2
jv,80,3,23,36,2
jv,67,3,23,35,2
jv,73,3,21,35,2
jv,87,3,22,35,2
jv,78,3,26,36,2
jv,85,3,26,36,2
jv,70,3,22,36,2
jv,67,3,22,36,2
jv,84,3,24,37,2
jv,71,3,22,36,2
jv,73,3,22,36,2
jv,81,3,24,39,2
jv,81,3,23,36,2
jv,77,3,25,40,2
jv,82,3,29,39,2
jv,86,3,31,45,2
jv,74,3,24,36,2
jv,72,3,34,36,2
jv,102,3,23,36,2
jv,69,3,30,36,2
jv,75,3,23,37,2
jv,75,3,25,39,2
jv,88,4,29,48,3
jv,91,3,22,36,2
jv,73,3,25,38,2
jv,75,3,24,37,2
jv,83,3,24,37,2
jv,76,3,23,37,2
jv,84,3,22,37,2
jv,73,3,23,37,2
jv,78,3,25,37,2
jv,77,3,23,37,2
jv,77,3,27,40,2
jv,75,3,23,38,2
jv,78,3,25,38,2
jv,77,3,23,38,2
jv,74,3,23,38,2
jv,72,3,24,38,2
jv,86,3,27,42,2
jv,73,3,23,39,2
jv,77,3,23,38,2
jv,85,3,25,39,2
jv,74,3,24,39,3
jv,81,3,24,39,2
jv,101,3,26,41,2
jv,79,3,25,40,2
jv,73,3,23,38,3
jv,88,3,26,38,2
jv,86,3,23,38,2
jv,89,3,25,40,2
jv,74,3,24,39,2
jv,80,3,24,39,2
jv,77,3,24,39,3
jv,79,3,25,39,2
jv,82,3,23,39,2
jv,79,3,24,39,2
jv,78,3,26,41,2
jv,83,3,25,39,2
jv,76,3,26,41,2
jv,75,3,29,40,2
jv,82,3,25,39,2
jv,87,3,31,44,2
jv,80,3,25,39,2
jv,78,3,25,40,2
jv,75,3,24,40,2
jv,83,3,24,40,2
jv,83,3,26,42,2
jv,89,3,26,43,2
jv,90,3,37,42,2
jv,78,3,25,40,2
jv,88,3,25,40,2
jv,81,3,24,40,2
jv,78,3,26,41,2
jv,83,3,28,41,2
jv,101,3,25,40,2
jv,85,3,27,43,3
jv,97,3,26,42,2
jv,84,3,26,41,2
jv,82,3,26,41,2
jv,79,3,26,41,2
jv,93,3,25,41,2
jv,78,3,26,41,3
jv,83,3,25,41,2
jv,93,3,27,43,2
jv,95,3,29,46,3
jv,89,3,27,42,2
jv,88,3,26,41,3
jv,84,3,25,41,2
jv,84,3,25,41,2
jv,87,3,27,42,3
jv,86,3,27,43,3
jv,90,3,27,43,2
jv,85,3,32,42,2
jv,89,3,27,42,2
jv,85,3,26,43,2
jv,88,3,26,42,3
jv,93,4,27,43,2
jv,89,3,26,42,2
jv,89,3,32,42,2
jv,93,3,39,42,2
jv,87,3,27,42,2
jv,90,4,33,49,2
jv,86,3,26,43,2
jv,96,3,28,44,2
jv,87,3,29,43,2
jv,101,3,28,44,2
jv,95,3,27,43,2
jv,96,3,28,44,2
jv,89,3,30,43,2
jv,90,3,27,43,2
jv,89,3,28,44,2
jv,91,3,27,43,2
jv,94,3,27,44,2
jv,96,3,27,43,2
jv,93,3,26,43,2
jv,87,3,27,44,3
jv,102,3,27,45,14
jv,91,3,27,44,2
jv,103,3,47,47,2
jv,95,3,28,44,2
jv,89,3,30,44,2
jv,86,3,26,44,3
jv,86,3,27,44,2
jv,88,3,28,46,2
jv,102,3,28,46,2
jv,97,3,27,45,2
jv,97,3,27,44,3
jv,91,3,27,45,3
jv,85,3,28,44,3
jv,97,3,28,46,3
jv,98,3,27,45,2
jv,97,3,28,45,2
jv,98,3,28,45,2
jv,103,3,28,46,2
jv,93,3,28,45,3
jv,107,3,29,47,2
jv,93,3,31,45,2
jv,91,3,30,46,3
jv,93,3,27,45,3
